dal_km,al_km,descrizione,tipo_lavoro,importo_lav_principali,importo_lav_totale,data_consegna_impresa,avanzamento_lavori,ultimazione,sospesa,impresa,id,regione,strada,CUP
0,17.341,CUP - F47H17000260001 Lavori di manutenzione straordinaria per la realizzazione degli impianti di illuminazione degli Svincoli della S.S. 80 Racc ,Lavori di manutenzione straordinaria.,372926.27,432734.6,18/04/2018,33.25,16/09/2018,,ATI STACCHIO IMPIANTI SRL-IGE IMPIA SRL-TATANGELO CIRO SRL,14585,ABRUZZO,SS80racc,F47H17000260001 
0,0,(CUP-F41B08000240001) VILLA LEMPA| SS N? 81 ``Piceno Aprutina`` Lavori di ammodernamento della sede stradale  del tratto ``Villa Lempa`` - Variante  S.S. 80,Lavori straordinari per nuove costruzioni.,13845865.37,16739255.36,22/08/2011,99.34,27/10/2013,,CO.STRA.M SRL,14600,ABRUZZO,SS81,F41B08000240001
0,0,(CUP-F97H17000280001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale sulla S.S. 150 dal km 0 al km 18+500 . sulla S.S. 80 Racc dal km 3+000 al km 12+000 . sulla S.S. 80 dal km 60+00 al km 94+000. sulla S.S. 81 dal km 26+000 al km 33+000 in t.s.. sulla S.S. 260 dal km 8+000 al km 29+462 e sulla SS 80 Var dal km 0 +000 al km 5+ 526  in tratti saltuari   -Centro Manutentorio B (IMPORTO 1144125),Lavori di manutenzione straordinaria.,2044180.09,2072502.94,08/11/2017,99.99,24/07/2018,,ATI APPALTI ENGINEERING SRL-COGI SR A.STRA.SPA-CELI CALC.SPA-MARINELLI,14586,ABRUZZO,VARIE,F97H17000280001
0,0,(CUP-F37H18000930001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale sulla SS 690 dal km 0+000 al km 39+350 in t.s. SS5 dal km 65+000 al km 184+000 in t.s. SS5 quater  dal km 0+000 al km 26+020 t.s.. SS17 dal km 12+250 al km 151+000 in t.s. . SS 153 dal km 0+000 al km 23+800. SS 652 dal km 12+209 al km 34+400 t.s. - Centro Manutentorio A - CDP 2017,Lavori di manutenzione straordinaria.,2152318.95,2212490.37,15/05/2018,80,08/08/2018,,ATI CELI CALCESTRUZZI - APPALTI ENG PALENTINA SRL,14587,ABRUZZO,VARIE,F37H18000930001
0,0,(CUP-F27H18000510001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale sulla rete stradale di ANAS S.p.A. Compartimento della Viabilita per l`Abruzzo -Centro Manutentorio C: S.S.81 tra i km.88+000 e 186+070 - S.S.652 tra i km.36+000 e 82+900 - S.S.650 tra i km.43+350 e 78+400 - S.S.84 tra i km.50+320 e 57+000 - S.S.5 tra i km.184+160 e 216+600 - S.S.714 tra i km.0+000 e 20+600 - R.A.12 tra i km.0+000 e 14+700 - CDP 2017,Lavori di manutenzione straordinaria.,1721941.72,1752541.72,09/05/2018,95.18,17/09/2018,,ATI APPALTI ENGINEERING SRL-COGI SR A.STRA.SPA-CELI CALC.SPA-MARINELLI,14588,ABRUZZO,VARIE,F27H18000510001
0,0,(CUP-F57H18000560001) Lavori di realizzazione di sistemi per l`esercizio stradale e adeguamento della segnaletica lungo le strade del CMC esclusa SS 16,Lavori di manutenzione straordinaria.,248802.56,259027.56,03/08/2018,0,31/10/2018,,ATI TRAFFITEK SRL - SEGNALETICA DCF,14590,ABRUZZO,VARIE,F57H18000560001
0,0,(CUP-F37H18001060001) Lavori di realizzazione di sistemi per l`esercizio stradale e adeguamento della segnaletica lungo le strade dell`area compartimentale Abruzzo Centro di Manutenzione A di L`Aquila,Lavori di manutenzione straordinaria.,250995.81,257240.25,30/07/2018,0,28/10/2018,,ATI TRAFFITEK SRL - SEGNALETICA DCF,14591,ABRUZZO,VARIE,F37H18001060001
0,0,(CUP F67H18000840001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale sulla strade statali S.S.652 tra i km.36+000 e 82+900 ? S.S.650 tra i km.43+350 e 78+400 (IMPORTO 3450000)  CIG DERIVATO 7577217546,Lavori di manutenzione straordinaria.,2259153.24,2361671.23,01/08/2018,0,12/12/2018,,ATI ADRIATICA STRADE A-STRA - INTER SASSANO - PISTILLI COSTR.,14592,ABRUZZO,VARIE,F67H18000840001
0,0,(CUP-F47H16000410001) Lavori di realizzazione di sistemi per l`esercizio stradale e adeguamento della segnaletica lungo le strade dei centri di manutenzione B di Teramo - CDP2016,Lavori di manutenzione straordinaria.,233630.3,259874.74,17/11/2017,94.04,16/05/2018,,ATI TRAFFITEK SRL - SEGNALETICA DCF,14594,ABRUZZO,VARIE,F47H16000410001
0,0,(CUP-F37H17001790001) Lavori di manutenzione straordinaria delle pavimentazioni e della relativa segnaletica orizzontale in tratti saltuari lungo la S.S. 5 dal km. 65+000 al km. 70+000. dal km. 98+200 al km. 181+300. dal km. 184+160 al km. 216+600. la S.S. 5 quater dal km. 0+000 al km. 26+020. la S.S. 684 dal km. 0+000 al km. 3+590. la S.S. 690 dal km. 0+000 al km. 39+350. la S.S. 696 dal km. 0+000 al km. 46+400 e la S.S. 696 dir dal km. 0+000 al km. 8+490 di competenza del Centro Manutentorio A,Lavori di manutenzione straordinaria.,665291.24,697385.21,30/10/2017,99.79,17/05/2018,,ATI APPALTI ENGINEERING SRL-COGI SR A.STRA.SPA-CELI CALC.SPA-MARINELLI,14596,ABRUZZO,VARIE,F37H17001790001
7.67,7.73,INTERVENTI DI RIPRISTINI STRUTTURALI E CORTICALI PROFONDI CON EVENTUALI RINFORZI STRUTTURALI. IMPERMEABILIZZAZIONE E REGIMENTAZIONE DELLE ACQUE DI PIATTAFORMA DEGLI IMPALCATI. GIUNTI DI DILATAZIONE E ADEGUAMENTO DELLE BARRIERE DI PROTEZIONE DEL VIADOTTO DORA VAL FERRET TRA I KM.7+670 E 7+730 DELLA S.S. N.26 DIR.,Lavori di manutenzione straordinaria.,578939.4,656408.25,06/04/2018,6.39,01/12/2018,,CPC S.R.L,14572,AOSTA,SS26dir,
48.205,57.3,Lavori di manutenzione straordinaria della pavimentazione stradale con rifacimento degli strati superficiali di usura e binder nei tratti di S.S.26 compresi fra il km. 48+205 e il km. 53+200  e fra il km. 53+600 e il km. 57+300.,Lavori di manutenzione straordinaria.,1069599.19,1130848.87,04/05/2018,97.67,27/06/2018,,ATI TRA.MA. SRL - MICRON DI PAGANI ROSANNA & C,14580,AOSTA,SS26,
89,89.2,LAVORI DI REALIZZAZIONE DELLA ROTATORIA SULLA S.S. N.26 ``DELLA VALLE D`AOSTA`` AL KM. 89+060  IN CORRISPONDENZA DELL`INNESTO CON LA S.R. N.13 PER FENIS.,Lavori di manutenzione straordinaria.,683893.71,950391.36,10/04/2018,22.12,20/11/2018,,SIRAMVIN SRL,14573,AOSTA,SS26,
97,99.45,Lavori di messa in sicurezza. ammodernamento e riqualificazione del tratto compreso tra lo svincolo autostradale in Comune di Quart (AO) e il confine EST del Capoluogo Regionale. nonche della connessa viabilita locale e commerciale di collegamento fra la,Lavori straordinari per nuove costruzioni.,10184405.25,14691468.73,24/10/2016,0.88,13/10/2018,,ATI  CO.GE.FA.  SPA - EUROIMPIANTI ELECTRONIC  SPA,14581,AOSTA,SS26,
106.55,106.75,LAVORI DI REALIZZAZIONE DI UNA ROTATORIA IN FRAZIONE MAILLOD AL KM. 106+750 DELLA S.S. 26 ``DELLA VALLE D`AOSTA``  IN COMUNE DI SARRE.  |Convenzione in data 13/07/2016  tra ANAS s.p.a. e Comune di Sarre (Ao) per la realizzazione di n?2 rotatorie sulla S.S. n?26 ``della Valle d`Aosta`` in Comune di Sarre.,Lavori di manutenzione straordinaria.,206460.57,323923.99,17/04/2018,51.57,14/08/2018,,CONSORZIO A.R.E.M. LAVORI,14574,AOSTA,SS26,
107.5,107.9,Lavori di adeguamento e messa in sicurezza dell`incrocio a raso mediante la realizzazione di rotatoria nel Comune di Sarre al km. 107+700 della S.S. 26 `` della Valle d`Aosta``.   Convenzione in data 13/07/2016  tra ANAS s.p.a. e Comune di Sarre (Ao) per la realizzazione di n?2 rotatorie sulla S.S. n?26 ``della Valle d`Aosta`` in Comune di Sarre.,Lavori di manutenzione straordinaria.,321536.72,466804.12,09/04/2018,42.61,04/11/2018,,MICRON S.R.L.,14575,AOSTA,SS26,
111.7,111.9,LAVORI DI REALIZZAZIONE DI UNA ROTATORIA IN CORRISPONDENZA DELL`INNESTO A RASO CON LA STRADA COMUNALE AL KM. 111+800 DELLA S.S. N.26 IN COMUNE DI VILLENEUVE,Lavori di manutenzione straordinaria.,557735.64,695614.63,26/03/2018,58.79,20/11/2018,,IMPRESA DE GIULIANI SRL,14576,AOSTA,SS26,
138,138.37,Interventi di manutenzione straordinaria per l`adeguamento dei livelli di luminanza mediante il rifacimento degli impianti di illuminazione e di segnalazione della galleria Elevaz 1 dal km. 138+000 al km. 138+370 della S.S.26 ``della Valle d`Aosta``.,Lavori di manutenzione straordinaria.,404320.53,545537.46,04/06/2018,0,31/10/2018,,GIUZIO ROCCO E SALVATORE S.R.L.,14577,AOSTA,SS26,
4.2,15,LAVORI DI MANUTENZIONE STRAORDINARIA PER L`ADEGUAMENTO DELLE BARRIERE STRADALI LUNGO LA S.S. N? 27 DAL KM. 4+200 AL KM. 15+000  IN TRATTI SALTUARI,Lavori di manutenzione straordinaria.,159933.3,336690.17,17/09/2015,99.75,20/04/2017,,S.IM.CO. S.R.L.,14571,AOSTA,SS27,
20,23,Interventi di manutenzione straordinaria per la difesa del corpo stradale dalla caduta massi in tratti saltuari dal km. 20+000 al km. 23+000 della S.S.27 ``del Gran San Bernardo``.,Lavori di manutenzione straordinaria.,536819.95,573175.23,18/07/2018,0,02/02/2019,,GRANDI LAVORI S.C.A.R.L. CONSORZIO STABILE,14578,AOSTA,SS27,
0,0,Lavori di manutenzione straordinaria della pavimentazione stradale con rifacimento degli strati superficiali di usura e binder nei tratti di S.S. 26 compresi fra il km. 121+100 e il km. 126+700. e fra il km. 128+600 e il km. 133+000. e nei tratti di S.S. 26 Dir compresi fra il km. 8+600 e il km. 9+580.,Lavori di manutenzione straordinaria.,636454.42,677605.14,13/07/2018,48.76,13/09/2018,,ATI CO.GE.FA. - BITUX SPA - MICRON TRA.MA. SRL,14579,AOSTA,VARIE,
0,0,Adeguamento Strutturale e messa in sicurezza dell`Itinerario Basentano (compreso Raccordo Autostradale Sicignano Potenza) ed innalzamento dell`accessibilita alla citta capoluogo di regione.,Lavori straordinari per nuove costruzioni.,19634724.96,22548718.24,,2.73,,,ATI CONS. ST.GRANDI LAV SCRL+GIACOV IMPR.PIETRO CIDONIO SPA+TECHNITAL S,14914,BASILICATA,RA05,
17.342,17.755,LAVORI DI RIPARAZIONE DI TRAVI PRECOMPRESSE DEL VIADOTTO CAMMARDA` DIREZIONE SA SUL R.A.05 ``SICIGNANO-POTENZA`` - (2? Stralcio di ``Lavori di M.S. per la riparazione locale dei viadotti lungo la rete compartimentale: Cammarda sul RA05. Gallamara e Cornutello sulla S.S. 92. Brindisi II sulla S.S. 407. Noce I e Calda sulla S.S. 585. sovrappasso al km 15+231 sulla S.S. 598. San Nicola sulla S.S. 653. Dragonetti e Lagopesole sulla S.S. 658. e ulteriori interventi minori``),Lavori di manutenzione straordinaria.,762889.98,775794.98,03/07/2018,0,23/06/2019,,ATI PELUSO COSTRUZ. - PELCAR SRL -G COSTR.COOP.-GIUGLIANO COSTRUZ.METAL,14893,BASILICATA,RA05,
19.329,19.951,RA 05 - Lavori di adeguamento degli impianti tecnologici alle normative vigenti e conseguimento del Risparmio energetico della galleria Vetranico |(da attivare  all?Accordo Quadro PZ 05/16 (CIG 66186434FC) ,Lavori di manutenzione straordinaria.,1187388.06,1300886.36,11/10/2017,76.43,16/07/2018,, I.T. S.R.L INNOVAZIONE E TECNOLOGI,14892,BASILICATA,RA05,
24.237,25.539,LAVORI DI COMPLETAMENTO DELLA M.S. PER IL RIPRISTINO STRUTTURALE DEGLI IMPALCATI DEI VIADOTTI ``MARMO``. ``TORRE I`` E ``TORRE II`` IN CARREGGIATA NORD E SUD - R.A. 5,Lavori di manutenzione straordinaria.,6319170.04,6708941.76,14/05/2015,58.31,14/07/2018,,ATI TIRRENO BIT.SRL+FIDIASRL+ITAL S,14897,BASILICATA,RA05,
0,0,Collegamento mediano Murgia - Pollino Pisticci - Tursi - Valsinni 3? stralcio. Realizzazione di un nuovo ponte per l`attraversamento del fosso Chiobica sulla S.P. ex S.S. 176 in prossimita di quello parzialmente crollato il 23/02/2013. ubicato al km 4+100 in agro di Pisticci.,Lavori straordinari per nuove costruzioni.,1068561.84,1293096.94,24/11/2016,83.32,13/10/2018,,ATI CASSINO S.R.L.+DE ROSA OFFICINE,14915,BASILICATA,SS176,
11.358,16.143,S.S. 407 ``Basentana`` - Lavori di Manutenzione Straordinaria per riparazioni locali delle strutture dei viadotti ``Brindisi II`` e ``Pietra``,Lavori di manutenzione straordinaria.,384667.97,420001.3,24/04/2018,30.59,20/10/2018,,G.COSTRUZIONI GENERALI SRL,14901,BASILICATA,SS407,
11.565,11.629,DEMOLIZIONE E RICOSTRUZIONE IMPALCATI - RIPRISTINI LOCALIZZATI SPALLE. PILE E PULVINI DEL VIADOTTO BRINDISI II SULLA S.S. 407 - (5? Stralcio di ``Lavori di M.S. per la riparazione locale dei viadotti lungo la rete compartimentale: Cammarda sul RA05. Gallamara e Cornutello sulla S.S. 92. Brindisi II sulla S.S. 407. Noce I e Calda sulla S.S. 585. sovrappasso al km 15+231 sulla S.S. 598. San Nicola sulla S.S. 653. Dragonetti e Lagopesole sulla S.S. 658. e ulteriori interventi minori``),Lavori di manutenzione straordinaria.,517422.16,546926.16,03/07/2018,0,27/06/2019,,ATI PELUSO COSTRUZ. - PELCAR SRL -G COSTR.COOP.-GIUGLIANO COSTRUZ.METAL,14894,BASILICATA,SS407,
17.667,34.615,Lavori per il consolidamento e la protezione delle fondazioni del Viadotto ``Calciano I`` (al km 34+615). ``Adamo``. ``Calcesi``. ``Arena`` e ``della Vecchia`` della S.S. n? 407 ``Basentana`` - 1? Stralcio,Lavori di manutenzione straordinaria.,1098259.28,1176560.46,25/06/2018,0,21/03/2019,,CONSORZIO STABILE MARC POLO S.C.A.R,14906,BASILICATA,SS407,
34.041,34.042,S.S. 407 ``Basentana`` - Lavori per il completamento del consolidamento delle fondazioni del Viadotto ``Calciano II`` al km 37+046 della S.S. n? 407 ``Basentana`` (dalla pila 1 alla pila 7),Lavori di manutenzione straordinaria.,835133.2,960422.09,17/04/2018,0,10/11/2018,,ATI LA MA.GI.A.SAS+MERIDION. COSTR.,14905,BASILICATA,SS407,
0,0.1,NSA ``BRETELLA DI COLLEGAMENTO A3 - S.S. 585 I? LOTTO - LAVORI DI M.S. PER L`ADEGUAMENTO ALLA VIGENTE NORMATIVA DELLE OPERE DI PROTEZIONE LATERALE DEL VIADOTTO ``NOCE``,Lavori di manutenzione straordinaria.,193136.3,318352.3,20/01/2017,79.56,05/06/2018,,ITEMA SRL,14891,BASILICATA,SS585dir,
30.685,31.062,S.S. 585 - LAVORI DI MANUTENZIONE STRAORDINARIA PER IL RISANAMENTO DELLE TRAVI DEL VIADOTTO ``NOCE I`` AL KM 30+685 - 1? STRALCIO,Lavori di manutenzione straordinaria.,862099.9,904643.23,23/03/2015,99.74,11/03/2016,,SCAI COSTRUZIONI S.R.L. UNIPERSONAL,14899,BASILICATA,SS585,
57.3,63.5,S.S. 653 ``della Valle del Sinni`` - Lavori di M.S. di difesa spondale del corpo stradale del fiume Sinni al km 63+500 e al km 57+300,Lavori di manutenzione straordinaria.,1385902.44,1509846.04,21/08/2017,97.86,08/03/2018,,ATI CONS.STABILE SIN.TE.S.I.+MANCUS BILIARE S.R.L.,14904,BASILICATA,SS653,
0,0,SS 655 ``Bradanica`` I Tronco I Lotto della Martella.,Lavori straordinari per nuove costruzioni.,49563059.34,58001166.25,21/01/2011,99.89,20/12/2012,,ATI INTINI-CONSORZIO RAVENNATE(ATA -PRESENTS-PRO ITER,14911,BASILICATA,SS655,
82,122.6,Lavori di manutenzione straordinaria per la riqualifica della pavimentazione e del sottofondo stradale tra i km 39+486 e 76+000. e tra i km 82+000 ed il km 122+600 della SS. n? 655 ,Lavori di manutenzione straordinaria.,1247996.67,1276521.61,04/07/2018,15.09,24/11/2018,,LEONE S.R.L.,14909,BASILICATA,SS655,
0,48.131,S.S. 658 Nuovo itinerario Potenza-Melfi - Lavori di messa in sicurezza del tracciato stradale in tratti saltuari tra i km 0+000 e il km 48+131 - 1? Stralcio,Lavori straordinari per nuove costruzioni.,15351579.99,19074157.78,14/09/2015,4.72,12/09/2017,,ATI TECNIS SPA-SINTEC SPA,14913,BASILICATA,SS658,
23.375,27.13,LAVORI DI RIPARAZIONE DI TRAVI PRECOMPRESSE E INTRADOSSI DI SOLETTE DEI VIADOTTI DRAGONETTI E LAGOPESOLE SULLA S.S. 658 - (6? Stralcio di ``Lavori di M.S. per la riparazione locale dei viadotti lungo la rete compartimentale: Cammarda sul RA05. Gallamara e Cornutello sulla S.S. 92. Brindisi II sulla S.S. 407. Noce I e Calda sulla S.S. 585. sovrappasso al km 15+231 sulla S.S. 598. San Nicola sulla S.S. 653. Dragonetti e Lagopesole sulla S.S. 658. e ulteriori interventi minori``),Lavori di manutenzione straordinaria.,1447326.98,1473420.98,03/07/2018,0,21/06/,,ATI PELUSO COSTRUZ. - PELCAR SRL -G COSTR.COOP.-GIUGLIANO COSTRUZ.METAL,14895,BASILICATA,SS658,
554,573,S.S. 7 ``Appia`` Lavori di Manutenzione Straordinaria per il ripristino della pavimentazione dal km 554+000 al km 573+000 in tratti saltuari - 1? Stralcio,Lavori di manutenzione straordinaria.,1298072.42,1337697.74,12/06/2017,100,10/08/2017,,CONSORZIO STABILE ITALIMPRESE SOC. CONSORTILE A R.L.,14900,BASILICATA,SS7,
27.94,31.94,Variante Tito-Brienza - 6? lotto,Lavori straordinari per nuove costruzioni.,68341671.94,78837959.42,15/11/2017,0.95,02/05/,,INTERCANTIERI VITTADELLO S.P.A.,14912,BASILICATA,SS95,
0,0,R.A. n. 05 - S.S. n. 407 - Progetto GREEN LIGHT|Sostituzione dei corpi illuminanti con LED di ultima generazione - Lotto 5 ? Coordinamento Territoriale Tirrenica - Area Compartimentale Basilicata - Gallerie ?Montagnola? e ?Tentazione?,Lavori di manutenzione straordinaria.,103034.92,123413.45,19/07/2018,0,09/09/2018,,PAGANO & ASCOLILLO S.P.A.,14896,BASILICATA,VARIE,
0,0,SS.SS. nn? 598 ``di Fondo Valle Agri`` ? 658 ?Potenza-Melfi? ? 653 ?della Valle del Sinni? - Lavori di Manutenzione Straordinaria per interventi di riparazione localizzata dei viadotti ?Verzarulo?  e ?Santa Domenica? lungo la S.S.  598. dei viadotti ?Sciescio?. ?Bosco?. ?Giaconelli?. ?Canalone? e ?Convento Vecchio? lungo la S.S. 658 e del viadotto ?Episcopia? lungo la S.S. 653 ? 1? stralcio,Lavori di manutenzione straordinaria.,954522.58,1008094.22,19/06/2018,0,13/06/2019,,COSTRUZIONI RUBERTO S.R.L.,14902,BASILICATA,VARIE,
0,0,Lavori di manutenzione Straordinaria per il rifacimento della pavimentazione in tratti saltuari della S.S. n. 106 ``Jonica`` dal km 419+300 al km 426+000 e dal km 432+300 al km 444+800 e della S.S. 653 ``Sinnica`` in tratti saltuari dal km 0+000 al Km 11+000 e dal km 65+000 al km 80+000 - 1? Stralcio,Lavori di manutenzione straordinaria.,1531089.49,1576975.34,04/07/2017,98.56,16/10/2017,,ATI CONS STABILE ITALIMPRESE SCRL+C SRL,14903,BASILICATA,VARIE,
0,0,Lavori di interventi di distese generali in tratti saltuari del C.M. A - Anno 2017,Lavori di manutenzione straordinaria.,810289.86,834742.19,22/05/2018,97,31/08/2018,,LEONE S.R.L.,14907,BASILICATA,VARIE,
0,0,Lavori di interventi di distese generali in tratti saltuari del C.M. B - Anno 2017,Lavori di manutenzione straordinaria.,814047,832430.33,22/05/2018,38.38,31/08/2018,,LEONE S.R.L.,14908,BASILICATA,VARIE,
0,0,Lavori di interventi di distese generali in tratti saltuari del C.M. C - Anno 2017,Lavori di manutenzione straordinaria.,1130878.19,1162211.52,24/11/2017,99.38,16/06/2018,,TIRRENO BITUMI S.R.L.,14910,BASILICATA,VARIE,
14.7,36.77,S.S. 401 - 401DIR - LAVORI DI M.S. PER L`ADEGUAMENTO DELLE OPERE MARGINALI DI PROTEZIONE ALLA NORMATIVA VIGENTE IN TRATTI SALTUARI DAL KM 14+700 AL KM 36+770 DELLA S.S 401 E DAL KM 0+000 AL KM 21+500 DELLA S.S 401DIR,Lavori di manutenzione straordinaria.,236348.66,1110613.19,27/06/2016,89.81,25/08/2017,,NICRO COSTRUZIONI S.R.L.,14898,BASILICATA,VARIE,
0,108,Progetto definitivo per la fornitura e messa in opera di un sistema di Pmv. telecamere. sensori di traffico. stazioni meteorologiche per il controllo e la gestione del traffico nel tratto compreso tra il km. 0+000 ed il km. 108+000 dell`autostrada Sa-Rc.,Lavori straordinari per nuove costruzioni.,22893331.53,30787224.83,30/12/2013,97.67,14/11/2015,,ATI THALES ITALIA SPA - PAGANO & ASCOLILLO ENERGY AND TECHNOLOGY SPA,14959,CALABRIA,A3,
0,148.442,AUTOSTRADA A3 SALERNO - REGGIO CALABRIA. LAVORI DI MANUTENZIONE STRAORDINARIA PER LA SOSTITUZIONE E/O INTEGRAZIONE DELLA SEGNALETICA VERTICALE E COMPLEMENTARE NEL TRATTO SALERNO (KM 0+000) - LAURIA (KM 148+442). 1? STRALCIO,Lavori di manutenzione straordinaria.,181824,185049,22/06/2018,0,19/09/2018,,SI.SE. SISTEMI SEGNALETICI SPA,14962,CALABRIA,A3,
0,46.5,Lavori di manutenzione delle pavimentazioni e della relativa segnaletica orizzontale sulla rete stradale di ANAS SPA ? Autostrada A3 SA-RC ? Centro Manutentorio di Salerno.,Lavori di manutenzione straordinaria.,2395622.63,2438304.35,28/05/2018,99.73,23/11/2018,,INFRASTRUTTURE STRADALI S.C.P.A.,14963,CALABRIA,A3,
0,46.5,Lavori di manutenzione delle pavimentazioni e della relativa segnaletica orizzontale sulla rete stradale di ANAS SPA ? Autostrada A3 SA-RC ? Centro Manutentorio di Salerno.,Lavori di manutenzione straordinaria.,2395622.63,2438304.35,28/05/2018,99.73,23/11/2018,,INFRASTRUTTURE STRADALI S.C.P.A.,14964,CALABRIA,A3,
0,148.442,Accordo quadro per l`esecuzione di lavori di manutenzione della segnaletica verticale e marginale sull?autostrada A3 Salerno ? Reggio Calabria tratto dal km 0+000 al km 442+920 - Carreggiata nord e sud. - Progetto Applicativo N?1 ``Esecuzione dei Lavori di manutenzione della segnaletica verticale (non luminosa) e marginale; Tratto dal Km  0+000 al Km 148+442 - Carr. nord e sud.``,Lavori di manutenzione straordinaria.,937184.85,976965.42,25/05/2017,98.71,19/12/2017,,SI.SE. SISTEMI SEGNALETICI SPA,14990,CALABRIA,A3,
0,442.92,``Realizzazione della segnaletica verticale relativa agli itinerari di valorizzazione e promozione del territorio indicanti siti di interesse turistico e culturale`` - Progetto Applicativa N. 4,Lavori di manutenzione straordinaria.,749710.66,784609.76,13/07/2017,99.42,07/02/2018,,SI.SE. SISTEMI SEGNALETICI SPA,14993,CALABRIA,A3,
0,0,AUTOSTRADA  A3 SALERNO-REGGIO CALABRIA - MESSA IN SICUREZZA DEL TRATTO DAL KM 433+785 SVINCOLO DI CAMPO CALABRO (escluso) AL KM 442+077 SVINCOLO DI S. CATERINA (incluso).,Lavori straordinari per nuove costruzioni.,31222234.92,37577149.5,18/01/2018,2.55,17/01/,,ATI STEELCONCRETE CONS. STABILE - UNIROCK SRL - ODOS CONS. STABILE,14994,CALABRIA,A3,
