dal_km,al_km,descrizione,tipo_lavoro,importo_lav_principali,importo_lav_totale,data_consegna_impresa,avanzamento_lavori,ultimazione,sospesa,impresa,id,regione,strada
0,0,SS 675 ``Umbro-Laziale``|Tratto Aurelia-Cinelli - stralcio Monte Romano Est - Cinelli,Lavori straordinari per nuove costruzioni.,59240286.05,75119975.32,20/06/2016,87.32,30/08/2018,,ATI DONATI SPA-IRCOP SPA-S.A.L.C. S DEMA COSTRUZIONI SRL,14938,LAZIO,SS675
0,0,Direttrice Terni - Rieti. Tratto laziale: dalla galleria Montelungo al confine regionale,Lavori straordinari per nuove costruzioni.,10872717.99,13937468.08,24/11/2017,20.11,11/05/,,IRCOP SPA,14937,LAZIO,SS79
0,0,Viabilita di accesso all` hub portuale di Savona interconnessione tra i caselli della A 10 di Savona ed Albisola e i porti di Savona e Vado: Variante alla SS 1 Aurelia nel tratto tra Savona torrente Letimbro ed Albisola Superiore. ,Lavori straordinari per nuove costruzioni.,145118426.98,208185870.41,15/02/2012,78.72,18/09/2016,,ATI C.M.C.-ITINERA (SGAI-D`APPOLONI ELETEC 2000),14734,LIGURIA,SS1
0,0,LAVORI DI COSTRUZIONE DELLA VARIANTE ALLA SS 1 AURELIA - 3? LOTTO TRA FELETTINO E IL RACCORDO AUTOSTRADALE -  VIABILITA` DI ACCESSO ALL`HUB PORTUALE DI LA SPEZIA - INTERCONNESSIONE TRA I CASELLI DELLA A 12 E IL PORTO DI LA SPEZIA,Lavori straordinari per nuove costruzioni.,141113961.42,175352504.31,29/08/2011,43.69,29/05/2015,,TOTO Costruzioni Generali S.P.A.,14735,LIGURIA,SS1
0,0,Lotto I. Variante di Morbegno. dallo svincolo di Fuentes allo svincolo del Tartano. II Stralcio dallo svincolo di Cosio allo svincolo di Tartano.,Lavori straordinari per nuove costruzioni.,163413008.95,181620797.99,22/01/2015,98.51,04/04/2018,,COSSI COSTRUZIONI S.P.A.,14773,LOMBARDIA,SS38
0,0,SC Castelsantangelo-Macchie.  SC Nocelleto-Rapegna e SC Nocria-Capoluogo - Lavori di messa in sicurezza e ripristino della viabilita delle infrastrutture stradali interessate dagli eventi sismici.,Lavori di manutenzione straordinaria.,648949.38,914614.59,09/04/2018,38.67,02/10/2018,,CAV. ALDO ILARI S.N.C.,14562,MARCHE,SS209
0,0,SC Castelsantangelo-Macchie  - Interventi di ripristino del corpo stradale e realizzazione di opere complementari.,Lavori di manutenzione straordinaria.,2452933.95,3219697.01,22/05/2018,0,03/10/2019,,CONSORZIO STABILE VITRUVIO S.C.AR.L,14563,MARCHE,SS209
0,0,SC Del Poggio - Interventi di ripristino del corpo stradale ed opere complementari,Lavori di manutenzione straordinaria.,1262086.54,1672686.54,12/03/2018,0,11/03/2019,,ATI COGET SRL ? TRE C COSTRUZIONI S,14564,MARCHE,SS209
0,0,SC Laverino - Interventi di ripristino e messa in sicurezza della sede stradale.,Lavori di manutenzione straordinaria.,139175.55,151867.1,02/02/2018,100,02/05/2018,,ANGELONE COSTRUZIONI SRL,14565,MARCHE,SS209
0,0,SP36 SP56 e SP 164 - Lavori di messa in sicurezza e ripristino della sede stradale.,Lavori di manutenzione straordinaria.,608920.32,702531.43,03/04/2018,49.11,29/09/2018,,DUEZETA COSTRUZIONI S.R.L.,14568,MARCHE,SS209
0,0,S.C. nel Comune di Palmiano - Interventi di ripristino del corpo stradale. opere complementari e stabilizzazioni dei versanti,Lavori di manutenzione straordinaria.,336978.64,465097.34,21/05/2018,73.64,17/09/2018,,MASCI GIOVANNI & FIGLI SNC,14560,MARCHE,SS4
0,0,S.C. Cupolame nel Comune di Force - Lavori di messa in sicurezza e ripristino del corpo stradale.,Lavori di manutenzione straordinaria.,416810.08,532940.12,13/06/2018,8.42,21/08/2018,,S.E.I.C.O. SOCIETA` EDILE INDUSTRIALE COSTRUZIONI S.R.L.,14561,MARCHE,SS4
0,0,S.P. 124  ex S.P.93 - Interventi di protezione dalla caduta massi,Lavori di manutenzione straordinaria.,683280.28,787120.08,15/03/2018,43.86,20/10/2018,,CO.S.PE.F.  S.R.L. A SOCIO UNICO,14567,MARCHE,SS4
0,0,SP 136 ?Pian Perduto? ? Interventi necessari per apertura al traffico con limitazioni alla circolazione dal km 8+000 (Hotel La Fiorita) al km 12+000 (Madonna della Icona).,Lavori di manutenzione straordinaria.,265183.18,290194.88,27/04/2018,39.03,25/07/2018,,EDIL STRADE MINTURNO S.R.L.,14529,MARCHE,SS685
0,0,S.P. 129 - Interventi di stabilizzazione dei versanti. realizzazione di opere complementari e ripristino del corpo stradale dal lm 0+800 al Km 4+150. Fase 0 ,Lavori di manutenzione straordinaria.,111269.25,128177.1,16/03/2018,93.26,14/04/2018,,S.E.A.S. S.R.L.,14535,MARCHE,SS685
0,0,S.P. 64 ``Nursina`` - Interventi di ripristino del corpo stradale e realizzazione di opere di protezione dalla caduta massi dal km 0+000 (innesto S.P. 129) al km 12+200 (Localita Forche Canapine) - Primo stralcio funzionale dall`innesto con la S.P. 129 alla localita Capodacqua.  ,Lavori di manutenzione straordinaria.,729562.31,937895.51,12/02/2018,100,12/05/2018,,ATI ITTEMO S.R.L. - CROVETTI D.,14550,MARCHE,SS685
0,0,S.P. 64 ``Nursina`` Interventi di ripristino del corpo stradale e realizzazione di opere di protezione dalla caduta massi dal Km 0+000 al Km 12+200 (localita Forche Canapine) - Secondo stralcio funzionale dalla localita Capodacqua all`innesto con la S.S. 685. ,Lavori di manutenzione straordinaria.,1493939.99,1784377.84,30/05/2018,0,25/12/2018,,ALPI S.R.L.,14551,MARCHE,SS685
0,0,S.P. 64 ?Nursina? Interventi necessari per apertura al traffico con limitazioni alla circolazione dal Km 2+400 localita Capodacqua al Km 5+000 innesto con la S.S.685? Lotto 0,Lavori di manutenzione straordinaria.,54171.28,58590.35,16/03/2018,84.74,30/03/2018,,UBALDI COSTRUZIONI S.P.A.,14552,MARCHE,SS685
0,0,S.P. 64 ?Nursina? Interventi necessari per apertura al traffico con limitazioni alla circolazione dal Km 0+000 innesto con la SP129 al Km 2+400 localita Capodacqua? - Lotto 0,Lavori di manutenzione straordinaria.,34918.75,37720.56,16/03/2018,74.55,30/03/2018,,ITTEMO S.R.L.,14553,MARCHE,SS685
0,0,SP 91 Lavori per la messa in sicurezza della sede stradale dal km.7+600 al km 9+600,Lavori di manutenzione straordinaria.,105302.76,151287.24,15/02/2018,100,16/03/2018,,ROCK AND RIVER SRL,14545,MARCHE,SS77
0,0,SP 91 ``Pian di Pieca-Fiastra``: Interventi di ripristino e messa in sicurezza della sede stradale a seguito dei danni causati dagli eventi sismici al km 14+450,Lavori di manutenzione straordinaria.,71534.76,108126.29,21/12/2017,100,18/02/2018,,PERSIA UMBERTO COSTRUZIONI SRL,14546,MARCHE,SS77
0,0,S.P. 119 - Interventi di verifica e sistemazione locale del versante e di ripristino di opere di sostegno dal km 1.15 al km 7.265 ? fase 1,Lavori di manutenzione straordinaria.,29225.57,30050.12,12/01/2018,0,12/03/2018,,CERQUA GIOVANNI,14548,MARCHE,SS77
0,0,S.P. 96 - Lavori di ripristino e messa in sicurezza del corpo stradale dal km 2+400 al km 2+500 e del Ponte a tre arcate in muratura,Lavori di manutenzione straordinaria.,202878.26,229666.67,09/02/2018,89.31,09/07/2018,,STRADEDIL S.R.L.,14566,MARCHE,SS77
0,0, S.C. Carosi - Lavori di ripristino del corpo stradale e delle opere di sostegno a monte e a valle.,Lavori di manutenzione straordinaria.,540121,681501,15/11/2017,80,27/07/2018,,SABINA CONGLOMERATI S.R.L.,14559,MARCHE,XS4
0,0,"SS 172 - Adeguamento ed ammodernamento in sede ed in variante
Costruzione della quarta corsia sull`Orimini Superiore tra i km 56+000 e 60+500 e Aste di penetrazione a Martina Franca",Lavori straordinari per nuove costruzioni.,14559409.45,21897180.9,02/07/2018,1.51,14/08/,,ATI BULFARO SPA - MURANO SRL,14602,PUGLIA,SS172
0,0,S.S. 125 ``Orientale Sarda`` - Tronco Tertenia-San Priamo: 1? Lotto - 1? Stralcio,Lavori straordinari per nuove costruzioni.,29445652.07,35555854.39,11/04/2017,58.79,20/02/2019,,DE SANCTIS COSTRUZIONI S.P.A,14659,SARDEGNA,SS125
0,0,Itinerario NORD - SUD S. Stefano di Camastra - Gela. |SS 117 Centrale Sicula - Lavori di ammodernamento e sistemazione del tratto compreso tra km 32+000 e km 38+700 della SS 117 - Lotto B4b,Lavori straordinari per nuove costruzioni.,65065789.37,69859574.01,22/06/2011,90.93,17/09/2018,,RICCIARDELLO COSTRUZIONI SRL,14854,SICILIA,ISV3
0,0,ITINERARIO PALERMO AGRIGENTO - TRATTO PALERMO - LERCARA FRIDDI. S.S. 121 - 2? Lotto funzionale: adeguamento in sede sez. Cat. C1/B nel tratto Bolognetta - Bivio Manganaro dal km 14+400 (rotatoria Bolognetta) al km 48+000 (svincolo Manganaro).,Lavori straordinari per nuove costruzioni.,230809759.66,258553406.02,27/02/2014,71.66,02/12/2017,,BOLOGNETTA S.C.P.A.,14853,SICILIA,SS121
0,0,"SS 626 DIR - LOTTO 7?
LAVORI DI MANUTENZIONE STRAORDINARIA DEL LOTTO 7?",Lavori straordinari per nuove costruzioni.,7687318.2,9042318.32,07/03/2017,37.76,06/03/2019,,ATI VIASTRADA S.A.S. - SAFITAL S.R.,14856,SICILIA,SS626dir
0,0,Progetto S2TR01_E_1701. SP8. SP31 e SP113. Lavori urgenti di ripristino opere d`arte.,Lavori di manutenzione straordinaria.,417678.09,502745.33,09/07/2018,0,07/10/2018,,GIACOVELLI SRL,14887,UMBRIA,SS77
0,0,Progetto P2MC49_E_1701. SP45 - Interventi di ripristino e messa in sicurezza.,Lavori di manutenzione straordinaria.,117786.79,151461.68,13/03/2018,100,30/05/2018,,SA.MA. S.R.L.,14888,UMBRIA,SS77
0,0,Progetto P2MC55_E_1701. SP120  e SP7 - Interventi di protezione dalla caduta massi.,Lavori di manutenzione straordinaria.,666381.32,786977.97,13/03/2018,97.55,26/07/2018,,STRADE E AMBIENTE SRL,14889,UMBRIA,SS77
0,0,Completamento del tratto Terni (localita S.Carlo) - Confine Regionale della Direttrice Civitavecchia-Orte-Terni-Rieti.,Lavori straordinari per nuove costruzioni.,181281750.04,205580422.7,31/10/2006,97.5,21/09/2013,,UNITER CONSORZIO STABILE A .R.L. IN LIQUIDAZIONE,14890,UMBRIA,SS79
0,0, Varianti alla S.S. 14 Triestina dei centri abitati di Campalto e Tessera in Comune di Venezia. Variante di Campalto.,Lavori straordinari per nuove costruzioni.,20554223.8,39038790.7,07/09/2016,56.23,31/07/2018,,INTERCANTIERI VITTADELLO S.P.A.,15014,VENETO,SS14
